Entry Type,Parent Allergy (English),English,French,Spanish,German,Italian,Portuguese,Dutch,Polish
Synonym,Almonds,almond,Amandes,Almendras,Mandeln,Mandorle,Amendoas,Amandelen,Migdały
Synonym,Apples,apple,Pommes,Manzanas,Aepfel,Mele,Macas,Appels,Jabłka
Synonym,Avocado,avocados,Avocat,Aguacate,Avocado,Avocado,Abacate,Avocado,Awokado
Synonym,Bananas,banana,Bananes,Platanos,Bananen,Banane,Bananas,Bananen,Banany
Synonym,Beans,bean,Haricots,Judias,Bohnen,Fagioli,Feijoes,Bonen,Fasola
Synonym,Beans,black bean,,,,,,,
Synonym,Beans,broad bean,,,,,,,
Synonym,Beans,kidney bean,,,,,,,
Synonym,Beans,navy bean,,,,,,,
Synonym,Beans,pinto bean,,,,,,,
Synonym,Beef,gelatin,,,,,,,
Synonym,Beef,gelatine,,,,,,,
Synonym,Brazil nuts,brazil nut,Noix du Bresil,Nueces de Brasil,Paranuesse,Noci del Brasile,Castanhas-do-para,Paranoten,Orzechy brazylijskie
Synonym,Buckwheat,soba,,,,,,,
Synonym,Carrots,carrot,Carottes,Zanahorias,Karotten,Carote,Cenouras,Wortelen,Marchew
Synonym,Cashews,cashew,Noix de cajou,Anacardos,Cashewnuesse,Anacardi,Cajus,Cashewnoten,Orzechy nerkowca
Synonym,Celery,celeriac,,,,,,,
Synonym,Chickpeas,chickpea,Pois chiches,Garbanzos,Kichererbsen,Ceci,Grao-de-bico,Kikkererwten,Ciecierzyca
Synonym,Chickpeas,besan,,,,,,,
Synonym,Chickpeas,chana,,,,,,,
Synonym,Chickpeas,gram flour,,,,,,,
Synonym,Chickpeas,hummus,,,,,,,
Synonym,Citrus fruit,grapefruit,,,,,,,
Synonym,Citrus fruit,lemon,,,,,,,
Synonym,Citrus fruit,lime,,,,,,,
Synonym,Citrus fruit,orange,,,,,,,
Synonym,Coconut,coconuts,Noix de coco,Coco,Kokosnuss,Cocco,Coco,Kokosnoot,Kokos
Synonym,Cereals containing gluten,barley,,,,,,,
Synonym,Cereals containing gluten,oats,Avoine,Avena,Hafer,Avena,Aveia,Haver,Owies
Synonym,Cereals containing gluten,rye,,,,,,,
Synonym,Cereals containing gluten,spelt,,,,,,,
Synonym,Cereals containing gluten,wheat,Ble,Trigo,Weizen,Grano,Trigo,Tarwe,Pszenica
Synonym,Corn,maize,,,,,,,
Synonym,Corn,cornflour,,,,,,,
Synonym,Corn,corn flour,,,,,,,
Synonym,Corn,corn starch,,,,,,,
Synonym,Corn,cornstarch,,,,,,,
Synonym,Crustaceans,crab,,,,,,,
Synonym,Crustaceans,crayfish,,,,,,,
Synonym,Crustaceans,lobster,,,,,,,
Synonym,Crustaceans,prawn,,,,,,,
Synonym,Crustaceans,shrimp,,,,,,,
Synonym,Eggs,egg,Oeufs,Huevos,Eier,Uova,Ovos,Eieren,Jaja
Synonym,Eggs,albumen,,,,,,,
Synonym,Fish,anchovy,,,,,,,
Synonym,Fish,cod,,,,,,,
Synonym,Fish,haddock,,,,,,,
Synonym,Fish,salmon,,,,,,,
Synonym,Fish,tuna,,,,,,,
Synonym,Garlic,garlic powder,,,,,,,
Synonym,Hazelnuts,hazelnut,Noisettes,Avellanas,Haselnuesse,Nocciole,Avelas,Hazelnoten,Orzechy laskowe
Synonym,Kiwi,kiwifruit,,,,,,,
Synonym,Latex-associated foods,avocado,Avocat,Aguacate,Avocado,Avocado,Abacate,Avocado,Awokado
Synonym,Latex-associated foods,banana,Bananes,Platanos,Bananen,Banane,Bananas,Bananen,Banany
Synonym,Latex-associated foods,chestnut,,,,,,,
Synonym,Latex-associated foods,kiwi,Kiwi,Kiwi,Kiwi,Kiwi,Kiwi,Kiwi,Kiwi
Synonym,Lentils,lentil,Lentilles,Lentejas,Linsen,Lenticchie,Lentilhas,Linzen,Soczewica
Synonym,Lentils,red lentil,,,,,,,
Synonym,Lentils,green lentil,,,,,,,
Synonym,Legumes and pulses,bean,Haricots,Judias,Bohnen,Fagioli,Feijoes,Bonen,Fasola
Synonym,Legumes and pulses,beans,Haricots,Judias,Bohnen,Fagioli,Feijoes,Bonen,Fasola
Synonym,Legumes and pulses,chickpea,Pois chiches,Garbanzos,Kichererbsen,Ceci,Grao-de-bico,Kikkererwten,Ciecierzyca
Synonym,Legumes and pulses,chickpeas,Pois chiches,Garbanzos,Kichererbsen,Ceci,Grao-de-bico,Kikkererwten,Ciecierzyca
Synonym,Legumes and pulses,lentil,Lentilles,Lentejas,Linsen,Lenticchie,Lentilhas,Linzen,Soczewica
Synonym,Legumes and pulses,lentils,Lentilles,Lentejas,Linsen,Lenticchie,Lentilhas,Linzen,Soczewica
Synonym,Legumes and pulses,pea,Pois,Guisantes,Erbsen,Piselli,Ervilhas,Erwten,Groch
Synonym,Legumes and pulses,peas,Pois,Guisantes,Erbsen,Piselli,Ervilhas,Erwten,Groch
Synonym,Legumes and pulses,pulse,,,,,,,
Synonym,Legumes and pulses,pulses,,,,,,,
Synonym,Lupin,lupine,,,,,,,
Synonym,Macadamia nuts,macadamia,,,,,,,
Synonym,Macadamia nuts,macadamia nut,Noix de macadamia,Nueces de macadamia,Macadamianuesse,Noci di macadamia,Nozes de macadamia,Macadamianoten,Orzechy makadamia
Synonym,Milk,casein,,,,,,,
Synonym,Milk,lactose,,,,,,,
Synonym,Milk,whey,,,,,,,
Synonym,Molluscs,clam,,,,,,,
Synonym,Molluscs,mussel,,,,,,,
Synonym,Molluscs,oyster,,,,,,,
Synonym,Molluscs,scallop,,,,,,,
Synonym,Molluscs,squid,,,,,,,
Synonym,Mustard,mustard seed,,,,,,,
Synonym,Oats,oat,Avoine,Avena,Hafer,Avena,Aveia,Haver,Owies
Synonym,Oats,oatmeal,,,,,,,
Synonym,Onion,onions,Oignon,Cebolla,Zwiebel,Cipolla,Cebola,Ui,Cebula
Synonym,Onion,onion powder,,,,,,,
Synonym,Peas,pea,Pois,Guisantes,Erbsen,Piselli,Ervilhas,Erwten,Groch
Synonym,Peas,pea protein,,,,,,,
Synonym,Peanuts,peanut,Arachides | Cacahuetes,Cacahuetes,Erdnuesse,Arachidi,Amendoins,Pindas,Orzeszki ziemne
Synonym,Peanuts,groundnut,,,,,,,
Synonym,Pecans,pecan,Noix de pecan,Nueces pecanas,Pekannuesse,Noci pecan,Nozes-peca,Pecannoten,Orzechy pekan
Synonym,Pine nuts,pine nut,Pignons de pin,Pinones,Pinienkerne,Pinoli,Pinhoes,Pijnboompitten,Orzeszki piniowe
Synonym,Pistachios,pistachio,Pistaches,Pistachos,Pistazien,Pistacchi,Pistacios,Pistachenoten,Pistacje
Synonym,Pork,porcine,,,,,,,
Synonym,Pork,pork gelatin,,,,,,,
Synonym,Pork,pork gelatine,,,,,,,
Synonym,Potatoes,potato,,,,,,,
Synonym,Potatoes,potato starch,,,,,,,
Synonym,Rice,rice flour,,,,,,,
Synonym,Rice,rice starch,,,,,,,
Synonym,Seeds,chia,,,,,,,
Synonym,Seeds,flax,,,,,,,
Synonym,Seeds,linseed,,,,,,,
Synonym,Seeds,poppy seed,,,,,,,
Synonym,Seeds,pumpkin seed,,,,,,,
Synonym,Seeds,sunflower seed,,,,,,,
Synonym,Sesame,sesame seed,,,,,,,
Synonym,Sesame,tahini,,,,,,,
Synonym,Shellfish,crustacean,Crustaces,Crustaceos,Krebstiere,Crostacei,Crustaceos,Schaaldieren,Skorupiaki
Synonym,Shellfish,crustaceans,Crustaces,Crustaceos,Krebstiere,Crostacei,Crustaceos,Schaaldieren,Skorupiaki
Synonym,Shellfish,mollusc,Mollusques,Moluscos,Weichtiere,Molluschi,Moluscos,Weekdieren,Mieczaki
Synonym,Shellfish,molluscs,Mollusques,Moluscos,Weichtiere,Molluschi,Moluscos,Weekdieren,Mieczaki
Synonym,Soya,soy,,,,,,,
Synonym,Soya,soybean,,,,,,,
Synonym,Strawberries,strawberry,Fraises,Fresas,Erdbeeren,Fragole,Morangos,Aardbeien,Truskawki
Synonym,Sulphur dioxide and sulphites,sulfites,,,,,,,
Synonym,Sulphur dioxide and sulphites,sulphites,,,,,,,
Synonym,Sunflower,sunflower seed,,,,,,,
Synonym,Sunflower,sunflower oil,,,,,,,
Synonym,Tomatoes,tomato,,,,,,,
Synonym,Tree nuts,almond,Amandes,Almendras,Mandeln,Mandorle,Amendoas,Amandelen,Migdały
Synonym,Tree nuts,brazil nut,Noix du Bresil,Nueces de Brasil,Paranuesse,Noci del Brasile,Castanhas-do-para,Paranoten,Orzechy brazylijskie
Synonym,Tree nuts,cashew,Noix de cajou,Anacardos,Cashewnuesse,Anacardi,Cajus,Cashewnoten,Orzechy nerkowca
Synonym,Tree nuts,hazelnut,Noisettes,Avellanas,Haselnuesse,Nocciole,Avelas,Hazelnoten,Orzechy laskowe
Synonym,Tree nuts,macadamia,,,,,,,
Synonym,Tree nuts,pecan,Noix de pecan,Nueces pecanas,Pekannuesse,Noci pecan,Nozes-peca,Pecannoten,Orzechy pekan
Synonym,Tree nuts,pistachio,Pistaches,Pistachos,Pistazien,Pistacchi,Pistacios,Pistachenoten,Pistacje
Synonym,Tree nuts,walnut,Noix,Nueces,Walnuesse,Noci,Nozes,Walnoten,Orzechy wloskie
Synonym,Walnuts,walnut,Noix,Nueces,Walnuesse,Noci,Nozes,Walnoten,Orzechy wloskie
Synonym,Wheat,bran,,,,,,,
Synonym,Wheat,bulgur,,,,,,,
Synonym,Wheat,couscous,,,,,,,
Synonym,Wheat,durum,,,,,,,
Synonym,Wheat,semolina,,,,,,,
Synonym,Sulphites (E220-E228),sulphur dioxide,,,,,,,
Synonym,Sulphites (E220-E228),sulfur dioxide,,,,,,,
Synonym,Sulphites (E220-E228),sulphite,,,,,,,
Synonym,Sulphites (E220-E228),sulphites,,,,,,,
Synonym,Sulphites (E220-E228),sulfite,,,,,,,
Synonym,Sulphites (E220-E228),sulfites,,,,,,,
Synonym,Sulphites (E220-E228),E220,,,,,,,
Synonym,Sulphites (E220-E228),E 220,,,,,,,
Synonym,Sulphites (E220-E228),E221,,,,,,,
Synonym,Sulphites (E220-E228),E 221,,,,,,,
Synonym,Sulphites (E220-E228),E222,,,,,,,
Synonym,Sulphites (E220-E228),E 222,,,,,,,
Synonym,Sulphites (E220-E228),E223,,,,,,,
Synonym,Sulphites (E220-E228),E 223,,,,,,,
Synonym,Sulphites (E220-E228),E224,,,,,,,
Synonym,Sulphites (E220-E228),E 224,,,,,,,
Synonym,Sulphites (E220-E228),E225,,,,,,,
Synonym,Sulphites (E220-E228),E 225,,,,,,,
Synonym,Sulphites (E220-E228),E226,,,,,,,
Synonym,Sulphites (E220-E228),E 226,,,,,,,
Synonym,Sulphites (E220-E228),E227,,,,,,,
Synonym,Sulphites (E220-E228),E 227,,,,,,,
Synonym,Sulphites (E220-E228),E228,,,,,,,
Synonym,Sulphites (E220-E228),E 228,,,,,,,
Synonym,Lecithins (E322),lecithin,,,,,,,
Synonym,Lecithins (E322),egg lecithin,,,,,,,
Synonym,Lecithins (E322),soya lecithin,,,,,,,
Synonym,Lecithins (E322),soy lecithin,,,,,,,
Synonym,Lecithins (E322),sunflower lecithin,,,,,,,
Synonym,Lecithins (E322),E322,,,,,,,
Synonym,Lecithins (E322),E 322,,,,,,,
Synonym,Gelatine (E441),gelatin,,,,,,,
Synonym,Gelatine (E441),gelatine,,,,,,,
Synonym,Gelatine (E441),beef gelatine,,,,,,,
Synonym,Gelatine (E441),fish gelatine,,,,,,,
Synonym,Gelatine (E441),pork gelatine,,,,,,,
Synonym,Gelatine (E441),E441,,,,,,,
Synonym,Gelatine (E441),E 441,,,,,,,
Synonym,Cochineal and carmine (E120),cochineal,,,,,,,
Synonym,Cochineal and carmine (E120),carmine,,,,,,,
Synonym,Cochineal and carmine (E120),carminic acid,,,,,,,
Synonym,Cochineal and carmine (E120),E120,,,,,,,
Synonym,Cochineal and carmine (E120),E 120,,,,,,,
Synonym,Carotenes (E160a),carotene,,,,,,,
Synonym,Carotenes (E160a),carotenes,,,,,,,
Synonym,Carotenes (E160a),alpha-carotene,,,,,,,
Synonym,Carotenes (E160a),beta-carotene,,,,,,,
Synonym,Carotenes (E160a),E160a,,,,,,,
Synonym,Carotenes (E160a),E 160a,,,,,,,
Synonym,Annatto (E160b),annatto,,,,,,,
Synonym,Annatto (E160b),bixin,,,,,,,
Synonym,Annatto (E160b),norbixin,,,,,,,
Synonym,Annatto (E160b),E160b,,,,,,,
Synonym,Annatto (E160b),E 160b,,,,,,,
Synonym,Paprika extract (E160c),paprika,,,,,,,
Synonym,Paprika extract (E160c),paprika extract,,,,,,,
Synonym,Paprika extract (E160c),capsanthin,,,,,,,
Synonym,Paprika extract (E160c),capsorubin,,,,,,,
Synonym,Paprika extract (E160c),E160c,,,,,,,
Synonym,Paprika extract (E160c),E 160c,,,,,,,
Synonym,Lycopene (E160d),lycopene,,,,,,,
Synonym,Lycopene (E160d),E160d,,,,,,,
Synonym,Lycopene (E160d),E 160d,,,,,,,
Synonym,Beta-apo-carotenals (E160e-E160f),beta-apo-8'-carotenal,,,,,,,
Synonym,Beta-apo-carotenals (E160e-E160f),ethyl ester of beta-apo-8'-carotenoic acid,,,,,,,
Synonym,Beta-apo-carotenals (E160e-E160f),E160e,,,,,,,
Synonym,Beta-apo-carotenals (E160e-E160f),E 160e,,,,,,,
Synonym,Beta-apo-carotenals (E160e-E160f),E160f,,,,,,,
Synonym,Beta-apo-carotenals (E160e-E160f),E 160f,,,,,,,
Synonym,Tocopherols (E306-E309),tocopherol,,,,,,,
Synonym,Tocopherols (E306-E309),tocopherols,,,,,,,
Synonym,Tocopherols (E306-E309),vitamin e,,,,,,,
Synonym,Tocopherols (E306-E309),E306,,,,,,,
Synonym,Tocopherols (E306-E309),E 306,,,,,,,
Synonym,Tocopherols (E306-E309),E307,,,,,,,
Synonym,Tocopherols (E306-E309),E 307,,,,,,,
Synonym,Tocopherols (E306-E309),E308,,,,,,,
Synonym,Tocopherols (E306-E309),E 308,,,,,,,
Synonym,Tocopherols (E306-E309),E309,,,,,,,
Synonym,Tocopherols (E306-E309),E 309,,,,,,,
Synonym,Azo and warning food colours,tartrazine,,,,,,,
Synonym,Azo and warning food colours,quinoline yellow,,,,,,,
Synonym,Azo and warning food colours,sunset yellow,,,,,,,
