Entry Type,Parent Allergy (English),English,French,Spanish,German,Italian,Portuguese,Dutch,Polish
Allergy,Almonds,Almonds,Amandes,Almendras,Mandeln,Mandorle,Amendoas,Amandelen,Migdały
Synonym,Almonds,almond,Amandes,Almendras,Mandeln,Mandorle,Amendoas,Amandelen,Migdały
Allergy,Apples,Apples,Pommes,Manzanas,Aepfel,Mele,Macas,Appels,Jabłka
Synonym,Apples,apple,Pommes,Manzanas,Aepfel,Mele,Macas,Appels,Jabłka
Allergy,Avocado,Avocado,Avocat,Aguacate,Avocado,Avocado,Abacate,Avocado,Awokado
Synonym,Avocado,avocados,Avocat,Aguacate,Avocado,Avocado,Abacate,Avocado,Awokado
Allergy,Bananas,Bananas,Bananes,Platanos,Bananen,Banane,Bananas,Bananen,Banany
Synonym,Bananas,banana,Bananes,Platanos,Bananen,Banane,Bananas,Bananen,Banany
Allergy,Beans,Beans,Haricots,Judias,Bohnen,Fagioli,Feijoes,Bonen,Fasola
Synonym,Beans,bean,Haricots,Judias,Bohnen,Fagioli,Feijoes,Bonen,Fasola
Synonym,Beans,black bean,,,,,,,
Synonym,Beans,broad bean,,,,,,,
Synonym,Beans,kidney bean,,,,,,,
Synonym,Beans,navy bean,,,,,,,
Synonym,Beans,pinto bean,,,,,,,
Allergy,Beef,Beef,Boeuf,Ternera,Rindfleisch,Manzo,Carne de vaca,Rundvlees,Wołowina
Synonym,Beef,gelatin,,,,,,,
Synonym,Beef,gelatine,,,,,,,
Allergy,Brazil nuts,Brazil nuts,Noix du Bresil,Nueces de Brasil,Paranuesse,Noci del Brasile,Castanhas-do-para,Paranoten,Orzechy brazylijskie
Synonym,Brazil nuts,brazil nut,Noix du Bresil,Nueces de Brasil,Paranuesse,Noci del Brasile,Castanhas-do-para,Paranoten,Orzechy brazylijskie
Allergy,Buckwheat,Buckwheat,Sarrasin,Trigo sarraceno,Buchweizen,Grano saraceno,Trigo-sarraceno,Boekweit,Gryka
Synonym,Buckwheat,soba,,,,,,,
Allergy,Carrots,Carrots,Carottes,Zanahorias,Karotten,Carote,Cenouras,Wortelen,Marchew
Synonym,Carrots,carrot,Carottes,Zanahorias,Karotten,Carote,Cenouras,Wortelen,Marchew
Allergy,Cashews,Cashews,Noix de cajou,Anacardos,Cashewnuesse,Anacardi,Cajus,Cashewnoten,Orzechy nerkowca
Synonym,Cashews,cashew,Noix de cajou,Anacardos,Cashewnuesse,Anacardi,Cajus,Cashewnoten,Orzechy nerkowca
Allergy,Celery,Celery,Celeri,Apio,Sellerie,Sedano,Aipo,Selderij,Seler
Synonym,Celery,celeriac,,,,,,,
Allergy,Chickpeas,Chickpeas,Pois chiches,Garbanzos,Kichererbsen,Ceci,Grao-de-bico,Kikkererwten,Ciecierzyca
Synonym,Chickpeas,chickpea,Pois chiches,Garbanzos,Kichererbsen,Ceci,Grao-de-bico,Kikkererwten,Ciecierzyca
Synonym,Chickpeas,besan,,,,,,,
Synonym,Chickpeas,chana,,,,,,,
Synonym,Chickpeas,gram flour,,,,,,,
Synonym,Chickpeas,hummus,,,,,,,
Allergy,Citrus fruit,Citrus fruit,Agrumes,Citricos,Zitrusfruechte,Agrumi,Citricos,Citrusvruchten,Owoce cytrusowe
Synonym,Citrus fruit,grapefruit,,,,,,,
Synonym,Citrus fruit,lemon,,,,,,,
Synonym,Citrus fruit,lime,,,,,,,
Synonym,Citrus fruit,orange,,,,,,,
Allergy,Coconut,Coconut,Noix de coco,Coco,Kokosnuss,Cocco,Coco,Kokosnoot,Kokos
Synonym,Coconut,coconuts,Noix de coco,Coco,Kokosnuss,Cocco,Coco,Kokosnoot,Kokos
Allergy,Cereals containing gluten,Cereals containing gluten,Cereales contenant du gluten,Cereales con gluten,Glutenhaltiges Getreide,Cereali contenenti glutine,Cereais que contem gluten,Granen met gluten,Zboza zawierajace gluten
Synonym,Cereals containing gluten,barley,,,,,,,
Synonym,Cereals containing gluten,oats,Avoine,Avena,Hafer,Avena,Aveia,Haver,Owies
Synonym,Cereals containing gluten,rye,,,,,,,
Synonym,Cereals containing gluten,spelt,,,,,,,
Synonym,Cereals containing gluten,wheat,Ble,Trigo,Weizen,Grano,Trigo,Tarwe,Pszenica
Allergy,Corn,Corn,Mais,Maiz,Mais,Mais,Milho,Mais,Kukurydza
Synonym,Corn,maize,,,,,,,
Synonym,Corn,cornflour,,,,,,,
Synonym,Corn,corn flour,,,,,,,
Synonym,Corn,corn starch,,,,,,,
Synonym,Corn,cornstarch,,,,,,,
