Entry Type,Parent Allergy (English),English,French,Spanish,German,Italian,Portuguese,Dutch,Polish
Allergy,Almonds,Almonds,Amandes,Almendras,Mandeln,Mandorle,Amendoas,Amandelen,Migdały
Allergy,Apples,Apples,Pommes,Manzanas,Aepfel,Mele,Macas,Appels,Jabłka
Allergy,Avocado,Avocado,Avocat,Aguacate,Avocado,Avocado,Abacate,Avocado,Awokado
Allergy,Bananas,Bananas,Bananes,Platanos,Bananen,Banane,Bananas,Bananen,Banany
Allergy,Beans,Beans,Haricots,Judias,Bohnen,Fagioli,Feijoes,Bonen,Fasola
Allergy,Beef,Beef,Boeuf,Ternera,Rindfleisch,Manzo,Carne de vaca,Rundvlees,Wołowina
Allergy,Brazil nuts,Brazil nuts,Noix du Bresil,Nueces de Brasil,Paranuesse,Noci del Brasile,Castanhas-do-para,Paranoten,Orzechy brazylijskie
Allergy,Buckwheat,Buckwheat,Sarrasin,Trigo sarraceno,Buchweizen,Grano saraceno,Trigo-sarraceno,Boekweit,Gryka
Allergy,Carrots,Carrots,Carottes,Zanahorias,Karotten,Carote,Cenouras,Wortelen,Marchew
Allergy,Cashews,Cashews,Noix de cajou,Anacardos,Cashewnuesse,Anacardi,Cajus,Cashewnoten,Orzechy nerkowca
Allergy,Celery,Celery,Celeri,Apio,Sellerie,Sedano,Aipo,Selderij,Seler
Allergy,Chickpeas,Chickpeas,Pois chiches,Garbanzos,Kichererbsen,Ceci,Grao-de-bico,Kikkererwten,Ciecierzyca
Allergy,Citrus fruit,Citrus fruit,Agrumes,Citricos,Zitrusfruechte,Agrumi,Citricos,Citrusvruchten,Owoce cytrusowe
Allergy,Coconut,Coconut,Noix de coco,Coco,Kokosnuss,Cocco,Coco,Kokosnoot,Kokos
Allergy,Cereals containing gluten,Cereals containing gluten,Cereales contenant du gluten,Cereales con gluten,Glutenhaltiges Getreide,Cereali contenenti glutine,Cereais que contem gluten,Granen met gluten,Zboza zawierajace gluten
Allergy,Corn,Corn,Mais,Maiz,Mais,Mais,Milho,Mais,Kukurydza
Allergy,Crustaceans,Crustaceans,Crustaces,Crustaceos,Krebstiere,Crostacei,Crustaceos,Schaaldieren,Skorupiaki
Allergy,Eggs,Eggs,Oeufs,Huevos,Eier,Uova,Ovos,Eieren,Jaja
Allergy,Fish,Fish,Poisson,Pescado,Fisch,Pesce,Peixe,Vis,Ryby
Allergy,Garlic,Garlic,Ail,Ajo,Knoblauch,Aglio,Alho,Knoflook,Czosnek
Allergy,Hazelnuts,Hazelnuts,Noisettes,Avellanas,Haselnuesse,Nocciole,Avelas,Hazelnoten,Orzechy laskowe
Allergy,Kiwi,Kiwi,Kiwi,Kiwi,Kiwi,Kiwi,Kiwi,Kiwi,Kiwi
Allergy,Latex-associated foods,Latex-associated foods,Aliments associes au latex,Alimentos asociados al latex,Latex-assoziierte Lebensmittel,Alimenti associati al lattice,Alimentos associados ao latex,Latex-gerelateerde voedingsmiddelen,Pokarmy zwiazane z lateksem
Allergy,Lentils,Lentils,Lentilles,Lentejas,Linsen,Lenticchie,Lentilhas,Linzen,Soczewica
Allergy,Legumes and pulses,Legumes and pulses,Legumineuses,Legumbres,Hulsenfruechte,Legumi,Leguminosas,Peulvruchten,Rosliny straczkowe
Allergy,Lupin,Lupin,Lupin,Altramuz,Lupine,Lupino,Tremoco,Lupine,Lubin
Allergy,Macadamia nuts,Macadamia nuts,Noix de macadamia,Nueces de macadamia,Macadamianuesse,Noci di macadamia,Nozes de macadamia,Macadamianoten,Orzechy makadamia
Allergy,Milk,Milk,Lait,Leche,Milch,Latte,Leite,Melk,Mleko
Allergy,Molluscs,Molluscs,Mollusques,Moluscos,Weichtiere,Molluschi,Moluscos,Weekdieren,Mieczaki
Allergy,Mustard,Mustard,Moutarde,Mostaza,Senf,Senape,Mostarda,Mosterd,Gorczyca
Allergy,Oats,Oats,Avoine,Avena,Hafer,Avena,Aveia,Haver,Owies
Allergy,Onion,Onion,Oignon,Cebolla,Zwiebel,Cipolla,Cebola,Ui,Cebula
Allergy,Peas,Peas,Pois,Guisantes,Erbsen,Piselli,Ervilhas,Erwten,Groch
Allergy,Peanuts,Peanuts,Arachides | Cacahuetes,Cacahuetes,Erdnuesse,Arachidi,Amendoins,Pindas,Orzeszki ziemne
Allergy,Pecans,Pecans,Noix de pecan,Nueces pecanas,Pekannuesse,Noci pecan,Nozes-peca,Pecannoten,Orzechy pekan
Allergy,Pine nuts,Pine nuts,Pignons de pin,Pinones,Pinienkerne,Pinoli,Pinhoes,Pijnboompitten,Orzeszki piniowe
Allergy,Pistachios,Pistachios,Pistaches,Pistachos,Pistazien,Pistacchi,Pistacios,Pistachenoten,Pistacje
Allergy,Pork,Pork,Porc,Cerdo,Schweinefleisch,Maiale,Porco,Varkensvlees,Wieprzowina
Allergy,Potatoes,Potatoes,Pommes de terre,Patatas,Kartoffeln,Patate,Batatas,Aardappelen,Ziemniaki
Allergy,Rice,Rice,Riz,Arroz,Reis,Riso,Arroz,Rijst,Ryz
Allergy,Seeds,Seeds,Graines,Semillas,Samen,Semi,Sementes,Zaden,Nasiona
Allergy,Sesame,Sesame,Sesame,Sesamo,Sesam,Sesamo,Sesamo,Sesam,Sezam
Allergy,Shellfish,Shellfish,Fruits de mer,Marisco,Schalentiere,Frutti di mare,Marisco,Schaal- en schelpdieren,Owoce morza
Allergy,Soya,Soya,Soja,Soja,Soja,Soia,Soja,Soja,Soja
Allergy,Strawberries,Strawberries,Fraises,Fresas,Erdbeeren,Fragole,Morangos,Aardbeien,Truskawki
Allergy,Sulphur dioxide and sulphites,Sulphur dioxide and sulphites,Dioxyde de soufre et sulfites,Dioxido de azufre y sulfitos,Schwefeldioxid und Sulfite,Anidride solforosa e solfiti,Dioxido de enxofre e sulfitos,Zwaveldioxide en sulfieten,Dwutlenek siarki i siarczyny
Allergy,Sunflower,Sunflower,Tournesol,Girasol,Sonnenblume,Girasole,Girassol,Zonnebloem,Slonecznik
Allergy,Tomatoes,Tomatoes,Tomates,Tomates,Tomaten,Pomodori,Tomates,Tomaten,Pomidory
Allergy,Tree nuts,Tree nuts,Fruits a coque,Frutos de cascara,Schalenfruechte,Frutta a guscio,Frutos de casca rija,Noten,Orzechy drzewne
Allergy,Walnuts,Walnuts,Noix,Nueces,Walnuesse,Noci,Nozes,Walnoten,Orzechy wloskie
Allergy,Wheat,Wheat,Ble,Trigo,Weizen,Grano,Trigo,Tarwe,Pszenica
Allergy,Sulphites (E220-E228),Sulphites (E220-E228),,,,,,,
Allergy,Lecithins (E322),Lecithins (E322),,,,,,,
Allergy,Gelatine (E441),Gelatine (E441),,,,,,,
Allergy,Cochineal and carmine (E120),Cochineal and carmine (E120),,,,,,,
Allergy,Carotenes (E160a),Carotenes (E160a),,,,,,,
Allergy,Annatto (E160b),Annatto (E160b),,,,,,,
Allergy,Paprika extract (E160c),Paprika extract (E160c),,,,,,,
Allergy,Lycopene (E160d),Lycopene (E160d),,,,,,,
Allergy,Beta-apo-carotenals (E160e-E160f),Beta-apo-carotenals (E160e-E160f),,,,,,,
Allergy,Tocopherols (E306-E309),Tocopherols (E306-E309),,,,,,,
Allergy,Azo and warning food colours,Azo and warning food colours,,,,,,,
Allergy,Benzoates (E210-E219),Benzoates (E210-E219),,,,,,,
Allergy,Sorbates (E200-E203),Sorbates (E200-E203),,,,,,,
Allergy,Nitrates and nitrites (E249-E252),Nitrates and nitrites (E249-E252),,,,,,,
Allergy,Glutamates and MSG (E620-E625),Glutamates and MSG (E620-E625),,,,,,,
Allergy,Modified starches (E1404-E1452),Modified starches (E1404-E1452),,,,,,,
Allergy,Guar gum (E412),Guar gum (E412),,,,,,,
Allergy,Locust bean gum (E410),Locust bean gum (E410),,,,,,,
Allergy,Acacia gum (E414),Acacia gum (E414),,,,,,,
Allergy,Carrageenan (E407),Carrageenan (E407),,,,,,,
Allergy,Lysozyme (E1105),Lysozyme (E1105),,,,,,,
